latitude,longitude,altitude,intensity,x,y,z,level,x_rounded,y_rounded
45.90368675,11.02801386,226.046,2.0,4357061.223214091,4496717.336945531,1212091.0681561453,upper,217853061.0,224835867.0
45.90368308,11.02801885,226.5146,4.0,4357061.7578304885,4496717.312349414,1212091.699589156,upper,217853088.0,224835866.0
45.9036863,11.02801723,226.5529,4.0,4357061.555130237,4496717.608831095,1212091.5310221515,upper,217853078.0,224835880.0
45.90369038,11.02801798,225.9391,4.0,4357060.804642493,4496717.4750242345,1212091.4950410847,upper,217853040.0,224835874.0
45.90368978,11.02802506,225.8843,3.0,4357060.710052113,4496717.28317605,1212092.2532775463,upper,217853036.0,224835864.0
45.9036934,11.02802812,225.9067,3.0,4357060.396187468,4496717.527747401,1212092.5898054184,upper,217853020.0,224835876.0
45.90369342,11.02802862,225.9327,3.0,4357060.4050139105,4496717.539997622,1212092.649067008,upper,217853020.0,224835877.0
45.90369432,11.02802971,225.8087,4.0,4357060.2336357115,4496717.504465086,1212092.7436951424,upper,217853012.0,224835875.0
45.90379598,11.02787406,226.1618,8.0,4357054.78814257,4496727.849446064,1212075.9113578966,upper,217852739.0,224836392.0
45.90369676,11.02803053,225.8782,4.0,4357060.077533754,4496717.726544943,1212092.8460221768,upper,217853004.0,224835886.0
45.90370143,11.02802621,225.9231,4.0,4357059.805298314,4496718.1789751975,1212092.3855621286,upper,217852990.0,224835909.0
45.90370627,11.02803037,225.9539,4.0,4357059.385225114,4496718.505526353,1212092.8431305874,upper,217852969.0,224835925.0
45.90371134,11.02803463,225.9527,3.0,4357058.9237718955,4496718.825491033,1212093.3054354012,upper,217852946.0,224835941.0
45.90371248,11.0280374,226.0751,3.0,4357058.877115627,4496718.956368541,1212093.6296051221,upper,217852944.0,224835948.0
45.90371247,11.02803764,226.0854,3.0,4357058.881401597,4496718.95922146,1212093.6576336762,upper,217852944.0,224835948.0
45.90365881,11.02823233,226.2737,4.0,4357060.354610597,4496712.052717657,1212114.8323362079,upper,217853018.0,224835603.0
45.90365746,11.02822648,225.6533,5.0,4357060.122959407,4496711.601633613,1212114.0784882598,upper,217853006.0,224835580.0
45.90364929,11.02822286,226.0383,5.0,4357061.080426397,4496711.306747968,1212113.7590905137,upper,217853054.0,224835565.0
45.90364141,11.02821725,226.3866,4.0,4357062.019369388,4496711.038286878,1212113.2166058808,upper,217853101.0,224835552.0
45.90363781,11.02821627,226.4169,4.0,4357062.337031905,4496710.800776247,1212113.1159974798,upper,217853117.0,224835540.0
45.90355909,11.02843852,226.1765,6.0,4357065.078312464,4496701.267507516,1212137.2010352588,upper,217853254.0,224835063.0
45.90362588,11.02820554,226.0874,4.0,4357063.206271367,4496709.824353548,1212111.8879453118,upper,217853160.0,224835491.0
45.90361919,11.0282007,226.3836,4.0,4357064.004896766,4496709.597958321,1212111.419097804,upper,217853200.0,224835480.0
45.90356144,11.02832581,226.5566,9.0,4357066.813168011,4496703.427012348,1212125.0361431905,upper,217853341.0,224835171.0
45.90361876,11.02819981,226.076,3.0,4357063.84165335,4496709.361954449,1212111.2636236334,upper,217853192.0,224835468.0
45.90361727,11.02819725,225.6638,4.0,4357063.714748275,4496708.996988137,1212110.9068182714,upper,217853186.0,224835450.0
45.90360886,11.02819231,226.3631,5.0,4357064.925159931,4496708.925463167,1212110.504222931,upper,217853246.0,224835446.0
45.90360567,11.02819055,226.3916,4.0,4357065.220900529,4496708.729715508,1212110.3185808323,upper,217853261.0,224835436.0
45.9036052,11.02818997,226.074,5.0,4357065.0494014425,4496708.478909753,1212110.1948523792,upper,217853252.0,224835424.0
45.90360696,11.0281888,225.6359,4.0,4357064.629270805,4496708.321709374,1212109.984013368,upper,217853231.0,224835416.0
45.90360116,11.02818586,226.0121,4.0,4357065.384710787,4496708.190512605,1212109.7367636955,upper,217853269.0,224835410.0
45.90359518,11.02818164,226.3676,3.0,4357066.158987017,4496708.050487942,1212109.3465768408,upper,217853308.0,224835403.0
45.90359475,11.02818249,226.0875,4.0,4357065.988905124,4496707.8074265905,1212109.3852856846,upper,217853299.0,224835390.0
45.90351661,11.02827304,226.2287,11.0,4357070.884607821,4496700.588711296,1212119.2438596874,upper,217853544.0,224835029.0
45.90359405,11.02818111,226.0188,4.0,4357066.017239842,4496707.726739445,1212109.222308935,upper,217853301.0,224835386.0
45.90359116,11.02817866,226.0717,3.0,4357066.316261455,4496707.581490782,1212108.9664168512,upper,217853316.0,224835379.0
45.90359084,11.02817864,226.0536,4.0,4357066.32930769,4496707.54470144,1212108.9607829486,upper,217853316.0,224835377.0
45.90359061,11.0281785,226.0378,4.0,4357066.338628442,4496707.51820107,1212108.9425598863,upper,217853317.0,224835376.0
45.90358704,11.02817584,226.0548,4.0,4357066.66958994,4496707.299126817,1212108.6569994455,upper,217853333.0,224835365.0
45.90358416,11.0281767,226.1987,5.0,4357066.981241898,4496707.168483691,1212108.7779017608,upper,217853349.0,224835358.0
45.90358925,11.02817486,225.5907,4.0,4357066.193585971,4496707.154931866,1212108.4618164066,upper,217853310.0,224835358.0
45.9035842,11.02817255,226.3823,2.0,4357067.164612903,4496707.364013288,1212108.3624321173,upper,217853358.0,224835368.0
45.9035859,11.02817227,225.6203,3.0,4357066.514856595,4496706.960405599,1212108.1862665822,upper,217853326.0,224835348.0
45.90358175,11.02816946,225.6103,4.0,4357066.875105052,4496706.680472129,1212107.8792548666,upper,217853344.0,224835334.0
45.90357776,11.02816575,225.6017,5.0,4357067.237004926,4496706.427369833,1212107.4747924795,upper,217853362.0,224835321.0
45.90356967,11.0281624,226.3234,5.0,4357068.414189137,4496706.3718053,1212107.2491176391,upper,217853421.0,224835319.0
45.9035686,11.02816144,225.6503,3.0,4357068.052561922,4496705.83055269,1212107.0161263065,upper,217853403.0,224835292.0
45.90356264,11.0281595,225.652,8.0,4357068.550043928,4496705.408003477,1212106.805813888,upper,217853428.0,224835270.0
45.90364557,11.02799248,225.9373,2.0,4357064.6956922645,4496714.45368819,1212088.7260049218,upper,217853235.0,224835723.0
45.90365029,11.02799606,225.8006,4.0,4357064.1791723585,4496714.661856376,1212089.0885584012,upper,217853209.0,224835733.0
45.90364589,11.02799014,226.5886,3.0,4357065.149882557,4496714.972689676,1212088.5965229287,upper,217853257.0,224835749.0
45.90364946,11.02799144,226.1292,2.0,4357064.536780028,4496714.900580149,1212088.649793991,upper,217853227.0,224835745.0
45.90365183,11.0279967,225.8893,4.0,4357064.109469186,4496714.831765447,1212089.1750144395,upper,217853205.0,224835742.0
45.90365391,11.02799903,226.0305,4.0,4357064.008359219,4496715.0540643595,1212089.4550068353,upper,217853200.0,224835753.0
45.90365482,11.02799924,225.8816,3.0,4357063.832146757,4496715.015113205,1212089.4493249443,upper,217853192.0,224835751.0
45.90365018,11.02798939,226.5849,3.0,4357064.821709007,4496715.307712552,1212088.5143830357,upper,217853241.0,224835765.0
45.90365387,11.02799178,226.5801,3.0,4357064.4936382715,4496715.548615676,1212088.77296189,upper,217853225.0,224835777.0
45.90365795,11.02799305,225.9678,3.0,4357063.736518129,4496715.407964398,1212088.7937276314,upper,217853187.0,224835770.0
45.90365948,11.02799835,226.1273,3.0,4357063.647340559,4496715.556204476,1212089.3996917922,upper,217853182.0,224835778.0
45.9036591,11.02800081,226.5368,3.0,4357063.920636726,4496715.778583904,1212089.7451218585,upper,217853196.0,224835789.0
45.90366443,11.0280068,225.7713,1.0,4357062.891274989,4496715.553268923,1212090.2490614874,upper,217853145.0,224835778.0
45.9036621,11.02799704,226.0454,4.0,4357063.405066615,4496715.717618142,1212089.241790488,upper,217853170.0,224835786.0
45.90366017,11.02799964,226.5796,2.0,4357063.8831214085,4496715.907902285,1212089.6262749035,upper,217853194.0,224835795.0
45.90366153,11.02800257,226.4966,2.0,4357063.676551607,4496715.908290175,1212089.9285260972,upper,217853184.0,224835795.0
45.90366455,11.028007,225.9786,4.0,4357063.020501551,4496715.705482633,1212090.3104308862,upper,217853151.0,224835785.0
45.90366393,11.02799752,225.9544,3.0,4357063.192221288,4496715.785339601,1212089.2764997757,upper,217853160.0,224835789.0
45.9036643,11.02799885,226.0014,3.0,4357063.175700791,4496715.826395543,1212089.4298966273,upper,217853159.0,224835791.0
45.90366634,11.02800751,225.8958,5.0,4357062.815954521,4496715.775486624,1212090.3499660094,upper,217853141.0,224835789.0
45.90366666,11.02800775,225.9208,5.0,4357062.8043816285,4496715.813796592,1212090.3808065054,upper,217853140.0,224835791.0
45.9036652,11.02800509,226.5485,3.0,4357063.386863301,4496716.18566505,1212090.2120659095,upper,217853169.0,224835809.0
45.90366964,11.02801119,225.7986,3.0,4357062.436386341,4496715.901994758,1212090.730932957,upper,217853122.0,224835795.0
45.90366848,11.0280096,226.0656,4.0,4357062.733203714,4496716.026155754,1212090.609371007,upper,217853137.0,224835801.0
45.90366977,11.02800302,225.9919,4.0,4357062.678511115,4496716.1722957725,1212089.8808419434,upper,217853134.0,224835809.0
45.90367585,11.02801475,225.8862,3.0,4357061.956422503,4496716.381884799,1212091.1342209456,upper,217853098.0,224835819.0
45.90367599,11.02801485,225.8973,3.0,4357061.951543974,4496716.398835942,1212091.1472018678,upper,217853098.0,224835820.0
45.90368003,11.02801804,225.8528,4.0,4357061.557108746,4496716.626212373,1212091.4850474128,upper,217853078.0,224835831.0
45.90368063,11.02801802,225.8872,4.0,4357061.533809504,4496716.6963922195,1212091.4894562315,upper,217853077.0,224835835.0
45.90368124,11.02801932,225.9604,4.0,4357061.516789933,4496716.774623448,1212091.6446075763,upper,217853076.0,224835839.0
45.90368119,11.02801445,226.1627,3.0,4357061.730597394,4496716.987431842,1212091.1545394922,upper,217853087.0,224835849.0
45.90368157,11.02801989,225.9997,4.0,4357061.509340198,4496716.818759172,1212091.714013638,upper,217853075.0,224835841.0
45.90368067,11.02801403,226.3077,4.0,4357061.876630068,4496717.056482801,1212091.136674403,upper,217853094.0,224835853.0
45.90368108,11.02801433,226.3405,4.0,4357061.862437785,4496717.106223315,1212091.175521526,upper,217853093.0,224835855.0
45.90368231,11.02801981,226.0392,4.0,4357061.479420267,4496716.904092163,1212091.712883463,upper,217853074.0,224835845.0
45.90368507,11.0280218,225.8951,3.0,4357061.13508376,4496716.982157856,1212091.9013852414,upper,217853057.0,224835849.0
45.9036855,11.02801462,226.0219,4.0,4357061.29366581,4496717.213351461,1212091.1460639557,upper,217853065.0,224835861.0
45.90368268,11.02801837,226.5424,4.0,4357061.815279195,4496717.308822238,1212091.6527904356,upper,217853091.0,224835865.0
45.90368682,11.02801309,226.0294,3.0,4357061.21772022,4496717.342268588,1212090.9813771145,upper,217853061.0,224835867.0
45.90368641,11.02802336,226.0206,3.0,4357061.092665289,4496717.148817595,1212092.0947708061,upper,217853055.0,224835857.0
45.9036901,11.02802638,225.9585,4.0,4357060.716180972,4496717.339755171,1212092.4107917082,upper,217853036.0,224835867.0
45.90369137,11.02802212,226.0236,4.0,4357060.723699604,4496717.546959633,1212091.9607102522,upper,217853036.0,224835877.0
45.90369144,11.02802243,226.0398,4.0,4357060.724706049,4496717.558991362,1212091.997467741,upper,217853036.0,224835878.0
45.9036919,11.02802204,226.0467,4.0,4357060.699059517,4496717.604762645,1212091.956442938,upper,217853035.0,224835880.0
45.90369117,11.0280226,226.3939,4.0,4357060.9852492735,4496717.785484115,1212092.083661146,upper,217853049.0,224835889.0
45.90369583,11.02803042,225.8479,3.0,4357060.131446824,4496717.636135934,1212092.8282827386,upper,217853007.0,224835882.0
45.90369631,11.02803041,225.8678,3.0,4357060.107514482,4496717.686817214,1212092.831003632,upper,217853005.0,224835884.0
45.90369767,11.02802447,226.0177,3.0,4357060.19062691,4496717.986172401,1212092.2147355885,upper,217853010.0,224835899.0
45.90369699,11.02803131,225.9317,3.0,4357060.084538907,4496717.769894567,1212092.9409455394,upper,217853004.0,224835888.0
45.90369735,11.02803222,225.9912,3.0,4357060.083525221,4496717.825383937,1212093.0511315379,upper,217853004.0,224835891.0
45.90369935,11.02803145,226.0257,3.0,4357059.9614622155,4496718.013494809,1212092.9741273865,upper,217852998.0,224835901.0
45.90369763,11.02802816,226.5353,4.0,4357060.492961485,4496718.291916045,1212092.7143928355,upper,217853025.0,224835915.0
45.90370064,11.02803444,226.0298,4.0,4357059.818993342,4496718.069045067,1212093.2995543377,upper,217852991.0,224835903.0
